epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7925,0.67418,1.28856,1.07899,0.54744,0.7668,0.68198,0.50911,0.74511,1.81424,1.13464,0.00024293,0.00024293,0.00024293
2,147.26,0.62606,1.14844,1.06017,0.64196,0.64762,0.67242,0.50614,0.71182,1.74479,1.07274,0.000483645,0.000483645,0.000483645
3,226.664,0.66994,1.17082,1.08638,0.40206,0.52234,0.57038,0.42973,0.96214,2.73817,1.35806,0.000707384,0.000707384,0.000707384
4,309.01,0.65588,1.19409,1.04429,0.66998,0.64838,0.6905,0.55104,0.76925,1.82424,1.15402,0.000914146,0.000914146,0.000914146
5,383.681,0.62976,1.09408,1.0487,0.39938,0.57381,0.50319,0.32755,1.05419,3.56282,1.48815,0.00110393,0.00110393,0.00110393
6,459.825,0.64104,1.08376,1.05872,0.77822,0.31429,0.47077,0.29368,0.98289,2.60646,1.33759,0.00119322,0.00119322,0.00119322
7,537.711,0.64286,1.04059,1.02685,0.74305,0.59239,0.67884,0.4821,0.83946,2.02785,1.19893,0.00114606,0.00114606,0.00114606
8,612.121,0.70618,1.04518,1.06455,0.4642,0.62857,0.52417,0.34265,1.11123,2.00526,1.55486,0.0010989,0.0010989,0.0010989
9,686.743,0.67579,1.00505,1.05156,0.53564,0.5687,0.54449,0.39237,1.0057,2.1935,1.42787,0.00105174,0.00105174,0.00105174
10,763.147,0.64186,0.94519,1.04725,0.5788,0.64284,0.67319,0.50254,0.88634,1.57622,1.31696,0.00100459,0.00100459,0.00100459
11,831.816,0.64411,0.92051,1.06969,0.7685,0.50924,0.70834,0.53698,0.89764,1.50718,1.30497,0.00095743,0.00095743,0.00095743
12,907.89,0.59928,0.89202,1.02766,0.60606,0.66991,0.68988,0.51737,0.85375,1.73774,1.23512,0.000910273,0.000910273,0.000910273
13,982.282,0.59105,0.88464,1.01869,0.7148,0.71876,0.76273,0.61205,0.74517,1.32893,1.08055,0.000863116,0.000863116,0.000863116
14,1056.57,0.57311,0.84556,1.00243,0.7126,0.70952,0.79764,0.63518,0.78063,1.26831,1.1254,0.000815959,0.000815959,0.000815959
15,1131.49,0.57461,0.83164,1.00881,0.83513,0.76351,0.86939,0.73977,0.6401,1.0418,1.07045,0.000768802,0.000768802,0.000768802
16,1206,0.58816,0.81131,1.00742,0.71178,0.69751,0.78155,0.61397,0.82671,1.49529,1.23827,0.000721645,0.000721645,0.000721645
17,1281.6,0.56601,0.77959,1.01805,0.80342,0.62585,0.83417,0.65261,0.68043,1.37359,1.11481,0.000674488,0.000674488,0.000674488
18,1357.09,0.55125,0.75387,1.00755,0.69511,0.80337,0.78073,0.637,0.65694,1.25167,1.07504,0.000627331,0.000627331,0.000627331
19,1432.13,0.51387,0.72119,0.98544,0.60705,0.79048,0.7938,0.63641,0.75405,1.20917,1.15135,0.000580174,0.000580174,0.000580174
20,1508.38,0.52059,0.69688,0.9879,0.81225,0.69054,0.79622,0.64127,0.75173,1.24841,1.19196,0.000533017,0.000533017,0.000533017
21,1582.63,0.37058,0.75308,0.94673,0.67648,0.72575,0.7788,0.63412,0.7786,1.57872,1.16103,0.00048586,0.00048586,0.00048586
22,1657.07,0.36107,0.66469,0.93646,0.56145,0.83333,0.74919,0.60782,0.73343,1.55206,1.16964,0.000438703,0.000438703,0.000438703
23,1730.86,0.32724,0.56162,0.91679,0.78376,0.87088,0.88067,0.76743,0.64386,1.14597,1.07059,0.000391546,0.000391546,0.000391546
24,1804.3,0.33253,0.54079,0.91286,0.8035,0.8719,0.95366,0.83231,0.56676,0.98805,0.96969,0.000344389,0.000344389,0.000344389
25,1877.16,0.31161,0.51605,0.90973,0.95471,0.83333,0.9535,0.8078,0.59589,0.95436,1.02088,0.000297232,0.000297232,0.000297232
26,1950.75,0.27836,0.46614,0.88777,0.88027,0.94734,0.96227,0.80009,0.63795,0.79424,1.053,0.000250075,0.000250075,0.000250075
27,2024.11,0.28235,0.44426,0.8834,0.80503,0.88273,0.90477,0.77083,0.6035,0.97419,1.04187,0.000202918,0.000202918,0.000202918
28,2099.7,0.26216,0.43005,0.87354,0.79557,0.86433,0.89796,0.77861,0.59641,0.96514,1.0318,0.000155761,0.000155761,0.000155761
29,2172.63,0.25033,0.41198,0.87344,0.76335,0.87143,0.87283,0.75072,0.59538,0.88995,1.01854,0.000108604,0.000108604,0.000108604
30,2245.55,0.23957,0.39654,0.86288,0.6957,0.91905,0.88206,0.77101,0.58765,0.90167,1.01033,6.1447e-05,6.1447e-05,6.1447e-05
